Date,Interest_rate
31-03-2000,18.94
30-06-2000,19.03
30-09-2000,18.79
31-12-2000,18.9
31-03-2001,18.53
30-06-2001,18.23
30-09-2001,18.01
31-12-2001,17.66
31-03-2002,16.39
30-06-2002,16.4
30-09-2002,15.65
31-12-2002,15.69
31-03-2003,15.13
30-06-2003,15.15
30-09-2003,14.97
31-12-2003,15.24
31-03-2004,14.8
30-06-2004,15.18
30-09-2004,15.65
31-12-2004,16.05
31-03-2005,16.23
30-06-2005,15.72
30-09-2005,15.76
31-12-2005,16.47
31-03-2006,16.56
30-06-2006,16.62
30-09-2006,16.29
31-12-2006,15.68
31-03-2007,16.05
30-06-2007,15.38
30-09-2007,14.99
31-12-2007,15.11
31-03-2008,15.14
30-06-2008,16.12
30-09-2008,16.12
31-12-2008,16.05
31-03-2009,15.73
30-06-2009,15.87
30-09-2009,15.86
31-12-2009,16.25
31-03-2010,16.53
30-06-2010,16.7
30-09-2010,16.69
31-12-2010,16.66
31-03-2011,16.66
30-06-2011,16.73
30-09-2011,16.72
31-12-2011,17.29
31-03-2012,17.31
30-06-2012,17.25
30-09-2012,17.25
31-12-2012,17.33
31-03-2013,17.69
30-06-2013,17.84
30-09-2013,17.88
31-12-2013,18.14
31-03-2014,17.31
30-06-2014,17.36
30-09-2014,17.47
31-12-2014,17.75
31-03-2015,17.84
30-06-2015,17.84
30-09-2015,17.93
31-12-2015,17.93
31-03-2016,17.94
30-06-2016,17.94
30-09-2016,17.94
31-12-2016,17.96
31-03-2017,17.96
30-06-2017,17.96
30-09-2017,17.97
31-12-2017,17.95
31-03-2018,17.92
30-06-2018,18.26
30-09-2018,18.46
31-12-2018,18.66
31-03-2019,19.83
30-06-2019,19.99
30-09-2019,20.01
31-12-2019,20.77
31-03-2020,20.78
30-06-2020,20.54
30-09-2020,20.72
31-12-2020,20.9
31-03-2021,21.15
30-06-2021,21.49
30-09-2021,21.45
31-12-2021,21.42
